10,"t","Mushrooms: Released August 26, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
10,"t","Agaricus Mushroom Growing Area Intended for Production by Utilization – States and United States: July 2022-June 2023"
10,"h","","","","",""
10,"h","","Intentions July 2022 - June 2023","Intentions July 2022 - June 2023","Intentions July 2022 - June 2023","Intentions July 2022 - June 2023"
10,"h","State","","","",""
10,"h","","Fresh","Processed","Total","Percent of"
10,"h","","market","market","fillings","last year"
10,"h","","","","",""
10,"u","","(1,000 square feet)","(1,000 square feet)","(1,000 square feet)","(percent)"
10,"d","Pennsylvania",66522,4433,70955,95
10,"d","",,,,
10,"d","Other States 1/",41378,22,41400,98
10,"d","",,,,
10,"d","United States",107900,4455,112355,96
10,"c",""
10,"f","1/ Other States include California, Florida, Illinois, Maryland, Oklahoma, Tennessee, and Texas."
